City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Jacksonville Beach,US,78.84,overcast clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
467,La Santisima Trinidad,BO,76.98,few clouds,-14.8333,-64.9,Hotel Piesta
468,Sabang,ID,83.39,light rain,5.8933,95.3214,Hotel Citra
470,Chalatenango,SV,78.12,overcast clouds,14.0333,-88.9333,Villa Alberto
471,Kirksville,US,86.18,overcast clouds,40.1948,-92.5833,Budget Host-Village Inn
477,Chirongui,YT,76.93,few clouds,-12.9319,45.1483,La Villa Mahatsara
479,College,US,81.59,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
481,Palora,EC,75.18,light rain,-1.7,-77.9333,Rancho grande
488,Balsas,BR,80.42,broken clouds,-7.5325,-46.0356,Novo Hotel
489,Ṭikāpur,NP,76.03,overcast clouds,28.5,81.1333,BANANA AGRO RESORT
496,Alofi,NU,77.27,light rain,-19.0595,-169.9187,Taloa Heights
499,Altamont,US,75.78,scattered clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
501,Gachsaran,IR,77.09,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
506,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
509,Jagüey Grande,CU,80.31,moderate rain,22.5269,-81.1286,Hostal lleana
513,Anderson,US,83.19,broken clouds,34.5334,-82.6499,The Bleckley Inn
517,Manacapuru,BR,77.58,moderate rain,-3.2997,-60.6206,Novo Hotel
519,Caruray,PH,78.91,broken clouds,10.3094,119.0128,
525,Denia,ES,76.8,scattered clouds,38.8408,0.1057,Hotel Port Denia
539,Gouré,NE,86.68,clear sky,13.9835,10.2704,
547,Loandjili,CG,75.31,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
554,Kanniyākumāri,IN,80.24,overcast clouds,8.0833,77.5667,Sparsa
559,Ca Mau,VN,80.44,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
562,Sturgis,US,75.04,broken clouds,41.7992,-85.4192,Best Western Plus Howe Inn
571,Muli,MV,82.78,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
572,Namatanai,PG,84.69,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
573,Pringsewu,ID,75.09,overcast clouds,-5.3582,104.9744,Urban Style by Front One
577,Half Moon Bay,US,82.54,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
586,Vieques,PR,82.9,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
588,Tevaitoa,PF,79.93,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
